; eventmsg.txt
PHRASE_project_warning_P 					"[greeting] [player_name], ytpfdthityysq ghjtrn gjpjhbn afhfjyf. e dfc tcnm njkmrj 6 vtczwtd, xnjFs ghbckfnm [amount] [item] d [city_name] lkz bA cnhjbntkmcndf. tckb ds yt cltkftnt Dnj, dtcm cdjq gjpjh afhfjy jFmzdbn dfibv."
PHRASE_project_warning_C 					"[greeting] [player_name], e dfc tcnm njkmrj 6 vtczwtd, xnjFs ghbckfnm [amount] [item] d [city_name] lkz bA cnhjbntkmcndf. tckb ds yt ghbiktnt nhtFetvjt, ytxtuj Fjkmit ujdjhbnm j rfrbA-nj jnyjotybzA c Dnbv ujhjljv."
PHRASE_project_comply_reason_P_A  	  		"gjcrjkmre [amount] [item] , rjnjhst ds gjckfkb yf cnhjqre afhfjyf d ujhjlt [city_name], ghbFskb djdhtvz "
PHRASE_project_comply_reason_P_B	  		"[amount] [item] , rjnjhst ds gjckfkb yf cnhjqre afhfjyf d ujhjlt [city_name], ghbFskb djdhtvz.  nfrCt,"
PHRASE_project_comply_reason_P_C	  		"Ajnz [amount] [item] , rjnjhst ds gjckfkb yf cnhjqre afhfjyf d ujhjlt [city_name], ghbFskb djdhtvz,"
PHRASE_project_comply_reason_C_A  	  			"gjcrjkmre ds gjvjukb [city_name] ecgtiyj pfdthibnm cnhjbntkmcndj gj uhfabre, gjckfd bv [amount] [item],"
PHRASE_project_comply_reason_C_B	  " ds gjvjukb [city_name] ecgtiyj pfdthibnm cnhjbntkmcndj gj uhfabre, gjckfd bv [amount] [item].rhjvt njuj,"
PHRASE_project_comply_reason_C_C	  "Ajnz ds gjvjukb [city_name] ecgtiyj pfdthibnm cnhjbntkmcndj gj uhfabre, gjckfd bv [amount] [item],"
PHRASE_project_too_late_reason_P_A   "gjcrjkmre ds jcnfyjdbkb cnhjbntkmcndj afhfjyf d [city_name] , pfcnfdbd bA Clfnm [amount] [item],"
PHRASE_project_too_late_reason_P_B	  " ds jcnfyjdbkb cnhjbntkmcndj afhfjyf d [city_name] , pfcnfdbd bA Clfnm [amount] [item].  nfrCt,"
PHRASE_project_too_late_reason_P_C	  "ghbpyfqnt njn afrn, xnj Ajnzds jcnfyjdbkb cnhjbntkmcndj afhfjyf d [city_name] , pfcnfdbd bA Clfnm [amount] [item] , dfif gjgsnrf Fskf jwtytyf, b "
PHRASE_project_too_late_reason_C_A  	"gjcrjkmre ds ghjFtpltkmybxfkb b yt ghbckfkb d [city_name] [amount] [item],"
PHRASE_project_too_late_reason_C_B	  "ds ckbirjv ljkuj jnrkflsdfkb gjcskre d [city_name] [amount] [item] , rjnjhst jyb nhtFjdfkb.  rhjvt njuj "
PHRASE_project_too_late_reason_C_C	  "Ajnz ds ckbirjv ljkuj jnrkflsdfkb gjcskre d [city_name] [amount] [item] , rjnjhst jyb nhtFjdfkb, dfif gjgsnrf Fskf jwtytyf  , b "
PHRASE_project_refuse_reason_P_A	"gjcrjkmre ds ghjbuyjhbhjdfkb pfghjc afhfjyf jnyjcbntkmyj [amount] [item] lkz tuj dtkbrjq cnhjqrb d {city_name],"
PHRASE_project_refuse_reason_P_B	  " ds ghjbuyjhbhjdfkb pfghjc afhfjyf jnyjcbntkmyj [amount] [item] lkz tuj dtkbrjq cnhjqrb d {city_name].  nfrCt,"
PHRASE_project_refuse_reason_P_C	  "Ajnz ds ghjbuyjhbhjdfkb pfghjc afhfjyf jnyjcbntkmyj [amount] [item] lkz tuj dtkbrjq cnhjqrb d {city_name],"
PHRASE_project_refuse_reason_C_A 	"gjcrjkmre ds jndthukb [city_name] b bA pfghjc jnyjcbntkmyj [amount] [item],"
PHRASE_project_refuse_reason_C_B	  " ds jndthukb [city_name] b bA pfghjc jnyjcbntkmyj [amount] [item]. rhjvt njuj,"
PHRASE_project_refuse_reason_C_C	  "Ajnz ds jndthukb [city_name] b bA pfghjc jnyjcbntkmyj [amount] [item],"
PHRASE_project_no_reason_P_A  	 	"xnjFs jnvtnbnm tuj vyjujxbcktyyst ljcnbCtybz,"
PHRASE_project_no_reason_P_B	  "gjcrjkmre jcnfkjcm tot jxtym vyjuj hfFjns "
PHRASE_project_no_reason_P_C	  ""
PHRASE_project_no_reason_C_A  	  "erhtgbnm ckfde tubgnf,"
PHRASE_project_no_reason_C_B	  "gjcrjkmre jcnfkjcm tot jxtym vyjuj hfFjns "
PHRASE_project_no_reason_C_C	  ""

;*****Famine Relief**********************************
PHRASE_famine_title_P 					"ujkjl"
PHRASE_famine_title_C 					"ujkjl"
PHRASE_famine_initial_announcement_P	"[greeting] [player_name], [reason_phrase] ujkjl jAdfnbk [city_name]. afhfjy nhtFetn ghbckfnm gjvjom. e dfc tcnm [time_allotted] xnjFs ghbckfnm [amount] [item] d ujhjl lkz jFktuxtybz bA cnhflfybq."
PHRASE_famine_initial_announcement_C	"[greeting] [player_name], [reason_phrase] ujkjl hfphfpbkcz d [city_name], b kElb evbhfEn jn ujkjlf. ghbikbnt [amount] [item] d ntxtybt [time_allotted] vtczwtd. Cbpym kEltq d jgfcyjcnb!"
PHRASE_famine_reminder_P 				"[greeting] [player_name], afhfjy bynthtcetncz , tcnm kb e dfc cthlwt bkb ytn.  ds dct tot yt gjckfkb [amount] [item] d [city_name], f dtlm kElzv Dnj yeCyj. e dfc jcnfkjcm njkmrj 6 vtczwtd xnjFs dsgjkybnm pfghjc afhfjyf."
PHRASE_famine_reminder_C 				"[greeting] [player_name], kElb bp [city_name] evbhfEn jn ujkjlf, f ds dct tot yt ghbckfkb [amount] [item]. ghbikbnt nhtFetvjt d ntxtybt 6 vtczwtd, bkb dfv ghbltncz dtpnb yt tle lkz ujkjlfEobA, f uhjFs lkz vthndtwjd."
PHRASE_famine_overdue_P 				"[greeting] [player_name], afhfjyf cxbnftn dfc Ftpleiysv nbhfyjv. ds yt cltkfkb ybxtuj, xnjFs jFktuxbnm cnhflfybz dfibA cjuhfClfy. ds dct tot vjCtnt ghbckfnm [amount] [item] d[city_name] b yfltznmcz yf nj, xnj afhfjy ghjcnbn dfc."
PHRASE_famine_overdue_C 				"[greeting] [player_name], Cfkjcnyst rhbrb ujkjlfEobA nfr b yt ljcnbukb dfibA eitq. ds nfr b yt ghbckfkb [amount] [item] d [city_name] djdhtvz. kexit gjpCt, xtv ybrjulf...tckb ds dct Ct ghbiktnt gboe, ds vjCtnt ghjbpdtcnb ytrjnjhjt dgtxfnktybt, tckb jcnfytncz yf rjuj tuj ghjbpdjlbnm...."
PHRASE_famine_warning_P 				"[greeting] [player_name], tckb ds yt dsiktnt [amount] [item] d [city_name] d ntxtybt 6 vtczwtd, Dnj Feltn jxtym gkjAj. afhfjy vjCtn hfccthlbnmcz , tckb ds yt ghbiktnt nhtFetvjt."
PHRASE_famine_warning_C 				"[greeting] [player_name], kElb ujhjlf [city_name] elbdkzEncz, bv rfCtncz xnj dfit cthlwt bp rfvyz.  e dfc tcnm dctuj 6 vtczwtd xnjFs gjckfnm [amount] [item] lkz jFktuxtybz bA cnhflfybq. tckb ds yt cltkftnt Dnjuj, bA cvthnm Feltn yf dfitq cjdtcnb."
PHRASE_famine_comply_reason_P_A  			"gjcrjkmre ds ghbckfkb [amount] [item] d jndtn yf yeCls [city_name], rfr afhfjy b ghbrfpsdfk,"
PHRASE_famine_comply_reason_P_B	  		" ds ghbckfkb [amount] [item] d jndtn yf yeCls [city_name], rfr afhfjy b ghbrfpsdfk.  Dnj Fskj velhj.  ntgthm,"
PHRASE_famine_comply_reason_P_C	  "nfr rfr ds ghbckfkb [amount] [item] d jndtn yf yeCls [city_name], rfr afhfjy b ghbrfpsdfk,nj "
PHRASE_famine_comply_reason_C_A 	"gjcrjkmre [amount] [item] , rjnjhst ds ghbckfkb  yfgjkybkb pfrhjvf [city_name] dj dhtvz ujkjlf,"
PHRASE_famine_comply_reason_C_B	  "[amount] [item] , rjnjhst ds ghbckfkb  yfgjkybkb pfrhjvf [city_name] dj dhtvz ujkjlf .  rhjvt njuj, cjdtnybrb ljrkflsdfEn, xnj "
PHRASE_famine_comply_reason_C_C	  "nfr rfr [amount] [item], rjnjhst ds ghbckfkb kElzv d [city_name] gjvjukb bv gthtibnm ujkjl, nj "
PHRASE_famine_too_late_reason_P_A	"gjcrjkmre bp-pf dfc gjllfyyst afhfjyf d [city_name] vexfkbcm ckbirjv ljkuj d jCblfybb [amount] [item],"
PHRASE_famine_too_late_reason_P_B	  " bp-pf dfc gjllfyyst afhfjyf d [city_name] vexfkbcm ckbirjv ljkuj d jCblfybb [amount] [item].  nfrCt, cjdtnybrb ljrkflsdfEn, xnj "
PHRASE_famine_too_late_reason_P_C	  "Ajnz bp-pf dfc gjllfyyst afhfjyf [city_name] vexfkbcm ckbirjv ljkuj d jCblfybb [amount] [item], Fskj dblyj, xnj ds gsnfkbcm xnj-nj cltkfnm, b nfrbv jFhfpjv "
PHRASE_famine_too_late_reason_C_A  	 	"gjcrjkmre ds ckbirjv ljkuj ljcnfdkzkb [amount] [item] lkz gjvjob ujkjlfEobv kElzv bp [city_name],"
PHRASE_famine_too_late_reason_C_B	  " ds ckbirjv ljkuj ljcnfdkzkb [amount] [item] lkz gjvjob ujkjlfEobv kElzv bp [city_name], ghbxbybd ntv cfvsv juhjvyst vextybz.  rj dctve ghjxtve,"
PHRASE_famine_too_late_reason_C_C	  "Ajnz ds ckbirjv ljkuj ljcnfdkzkb [amount] [item] lkz gjvjob ujkjlfEobv kElzv bp [city_name], tlf gjvjukf Ajnz Fs cukflbnm gjcktlcndbz ujkjlf, b nfrbv jFhfpjv "
PHRASE_famine_refuse_reason_P_A  	 	"gjcrjkmre ds jcrjhFbkb afhfjyf b tuj gjllfyysA d ujhjlt [city_name] dj dhtvz ujkjlf, jnrfpfd bv d ljcnfdrt [amount] [item],"
PHRASE_famine_refuse_reason_P_B	  " ds jcrjhFbkb afhfjyf b tuj gjllfyysA d ujhjlt [city_name] dj dhtvz ujkjlf, jnrfpfd bv d ljcnfdrt [amount] [item].  Dnj yt Fskj velhj.  nfrCt, cjdtnybrb ljrkflsdfEn, xnj "
PHRASE_famine_refuse_reason_P_C	  " ds jcrjhFbkb afhfjyf b tuj gjllfyysA d ujhjlt [city_name] dj dhtvz ujkjlf, jnrfpfd bv d ljcnfdrt [amount] [item], yj dghjxtv, "
PHRASE_famine_refuse_reason_C_A			"gjcrjkmre ds gjdthyekbcm cgbyjq r ujkjlfEobv kElzv [city_name] dj dhtvz ujkjlf b yt ljcnfdbkb [amount] [item],"
PHRASE_famine_refuse_reason_C_B	  " ds gjdthyekbcm cgbyjq r ujkjlfEobv kElzv [city_name] dj dhtvz ujkjlf b yt ljcnfdbkb [amount] [item].  cjdtnybrb nfrCt ljrkflsdfEn, xnj "
PHRASE_famine_refuse_reason_C_C	  "Ajnz ds gjdthyekbcm cgbyjq r ujkjlfEobv kElzv [city_name] dj dhtvz ujkjlf b yt ljcnfdbkb [amount] [item],"
PHRASE_famine_no_reason_P_A  	 	"ajhneyf jndthyekfcm jn gjllfyysA afhfjyf, b "
PHRASE_famine_no_reason_P_B	  "ghjFktvs ghjljkCfEncz "
PHRASE_famine_no_reason_P_C	  ""
PHRASE_famine_no_reason_C_A  	"kElb bp [city_name] nthzEn yfltCle, "
PHRASE_famine_no_reason_C_B	  "ghjFktvs ghjljkCfEncz "
PHRASE_famine_no_reason_C_C	  ""

;*****Threat**********************************
PHRASE_threat_title_P 					"dsvjufntkmcndf afhfjyf "
PHRASE_threat_title_C 					"dsvjufntkmcndf lheubA ujhjljd "
PHRASE_threat_initial_announcement_P	"[greeting] [player_name], [reason_phrase] afhfjy ghbrfpsdftn ghbckfnm [amount] [item] d [city_name] d ntxtybt [time_allotted] vtczwtd. d ghjnbdyjv ckexft jy gjqltn djqyjq yf dfi ujhjl."
PHRASE_threat_initial_announcement_C	"[greeting] [player_name], [reason_phrase] ujhjl [city_name] nhtFetn ghbckfnm [amount] [item] d ntxtybt  [time_allotted] vtczwtd. tckb ds yt dsgjkybnt, [city_name] jFBzdbn dfv djqye."
PHRASE_threat_reminder_P 				"[greeting] [player_name], dtkbrbq afhfjy cjFbhftn cdjb djqcrf b crjhj ghbrfCtn bv fnfrjdfnm. ds ljkCys ghbckfnm [amount] [item] d [city_name] d ntxtybt 6 vtczwtd xnjFs yt djpybrkj ghjFktv."
PHRASE_threat_reminder_C 				"[greeting] [player_name], fhvbz [city_name] ujnjdbncz r djqyt, ghtldreifz Fbnde. tckb ds gjiktnt [amount] [item] d ntxtybt 6 vtczwtd, ujhjl bpFtCbn fuhtccbb. cjklfns dhfuf Felen jxtym hfpjxfhjdfys."
PHRASE_threat_overdue_P 				"[greeting] [player_name], dfit dhtvz bcntrkj, b afhfjy Ctkftn rhjdb. e dfc tot tcnm ifyc clthCfnm tuj fuhtccbE, gjckfd [amount] [item] d [city_name] rfr vjCyj crjhtt."
PHRASE_threat_overdue_C 				"[greeting] [player_name], celz gj Fjtdsv rkbxfv, [city_name] ujnjdbncz eybxnjCbnm dfi ujhjl. gjikbnt [amount] [item] d [city_name] rfr vjCyj Fscnhtt, b jyb vjuen ghjzdbnm r dfv Cfkjcnm."
PHRASE_threat_warning_P 				"[greeting] [player_name], vjuexbq afhfjy ujnjd dpznm cbkjq nj, xnj ds yt lftnt tve gj ljFhjq djkt. tuj fhvbz Ajhjij gjlujnjdktyf , yj ds vjCtnt cgfcnb cdjq ujhjl, gjckfd [amount] [item] d ntxtybt 6 vtczwtd. d ghjnbdyjv ckexft  - ujnjdmntcm r vjhE rhjdb."
PHRASE_threat_warning_C 				"[greeting] [player_name], pfdjtdfntkb bp [city_name] ujnjds r gjAjle. tckb ds gjiktnt [amount] [item] d ntxtybt 6 vtczwtd, fnfreEobt vjuen yt ghbxbybnm dhtlf dfitve ujhjle."
PHRASE_threat_comply_reason_P_A 			"gjcrjkmre ds gjlxbybkbcm afhfjye b ghbckfkb [amount] [item] d [city_name],"
PHRASE_threat_comply_reason_P_B	  " ds gjlxbybkbcm afhfjye b ghbckfkb [amount] [item] d [city_name].  nfrCt, cjdtnybrb ljrkflsdfEn, xnj "
PHRASE_threat_comply_reason_P_C	  "Ajnz ds cltkfkb nj, xnj Ajntk afhfjy lkz ujhjlf [city_name],"
PHRASE_threat_comply_reason_C_A  "gjcrjkmre ds bcgjkybkb ghbrfp jnyjcbntkmyj ujhjlf [city_name] b jnghfdbkb [amount] [item],"
PHRASE_threat_comply_reason_C_B	  " ds bcgjkybkb ghbrfp jnyjcbntkmyj ujhjlf [city_name] b jnghfdbkb [amount] [item].  rhjvt njuj, gjAjCt xnj, "
PHRASE_threat_comply_reason_C_C	  "Ajnz ds bcgjkybkb ghbrfp jnyjcbntkmyj ujhjlf [city_name] b jnghfdbkb [amount] [item], yj ntv yt vtytt"
PHRASE_threat_too_late_reason_P_A  	 "ghjvtlktybt d gjcskrt [amount] [item] d [city_name] afhfjy gjcxbnfk bcgsnfybtv cdjtuj nthgtybz, b gjDnjve "
PHRASE_threat_too_late_reason_P_B	  " ghjvtlktybt d gjcskrt [amount] [item] d [city_name] afhfjy gjcxbnfk bcgsnfybtv cdjtuj nthgtybz.  c lheujq cnjhjys:"
PHRASE_threat_too_late_reason_P_C	  " ghjvtlktybt d gjcskrt [amount] [item] d [city_name] afhfjy gjcxbnfk bcgsnfybtv cdjtuj nthgtybz, yj d kEFjv ckexft, dfif gjgsnrf Fskf jwtytyf.  ntv yt vtytt"
PHRASE_threat_too_late_reason_C_A 		"gjcrjkmre ds ytljjwtybkb cbke [city_name] b yt ljcnfdbkb [amount] [item] Fscnhj,"
PHRASE_threat_too_late_reason_C_B	  " ds ytljjwtybkb cbke [city_name] b yt ljcnfdbkb [amount] [item] Fscnhj.  yj Dnj dct d ghjikjv, f ntgthm "
PHRASE_threat_too_late_reason_C_C	  "ds egecnbkb Ajhjibq ifyc b yt jnghfdbkb [amount] [item] d [city_name] rfr jyb ghjcbkb. jlyfrj, gjcrjkmre ds gsnfkbcm xnj-nj cltkfnm d Dnjv yfghfdktybb,"
PHRASE_threat_refuse_reason_P_A		"gjcrjkmre ds Fhjcbkb dspjd afhfjye, yt ghbckfd [amount] [item] d [city_name],"
PHRASE_threat_refuse_reason_P_B	  " ds Fhjcbkb dspjd afhfjye, yt ghbckfd [amount] [item] d [city_name].  rhjvt njuj,"
PHRASE_threat_refuse_reason_P_C	  "ytcvjnhz yf dfi jnrfp dsgjkybn ghbrfp afhfjyf b gjckfnm [amount] [item] d [city_name],"
PHRASE_threat_refuse_reason_C_A		"gjcrjkmre ds ghtlcnfdkztnt dct gjcktlcndbz dfituj jnrfpf gjckfnm [amount] [item] d [city_name],"
PHRASE_threat_refuse_reason_C_B	  " ds ghtlcnfdkztnt dct gjcktlcndbz dfituj jnrfpf gjckfnm [amount] [item] d [city_name].  dfv nfrCt cktletn pyfnm, xnj "
PHRASE_threat_refuse_reason_C_C	  "Ajnz ds ghtlcnfdkztnt dct gjcktlcndbz dfituj jnrfpf gjckfnm [amount] [item] d [city_name],"
PHRASE_threat_no_reason_P_A  	 	"gjcrjkmre jy ghbhjCltyysq Fjtw,"
PHRASE_threat_no_reason_P_B	  "rhjdjCflyjcnm afhfjyf gjAjCt yt bvttn uhfybw,"
PHRASE_threat_no_reason_P_C	  ""
PHRASE_threat_no_reason_C_A  	 	 				"gjcrjkmre [city_name] botn ckfds,"
PHRASE_threat_no_reason_C_B	  "gjAjCt, xnj [city_name] ybrjulf yt eljdktndjhbnmcz,"
PHRASE_threat_no_reason_C_C	  ""

;CITY STATUS CHANGING EVENTS
;*****Egyptian City Falls**********************************DONE TO HERE
PHRASE_eg_city_falls_title 						"tubgtncrbq ujhjl gfk "
PHRASE_eg_city_falls_initial_announcement		"[greeting] [player_name], [reason_phrase] vjueotcndtyysq ujhjl gfk ghtl cdjbvb dhfufvb."
PHRASE_eg_city_falls_reason_A  	 					"gjcrjkmre [city_name] gfk gjl yfnbcrjv dhfuf,"
PHRASE_eg_city_falls_reason_B	  "[city_name] gfk gjl yfnbcrjv dhfuf. f xnj lj jcnfkmyjuj, "
PHRASE_eg_city_falls_reason_C	  "Ajnz [city_name] gfk gjl yfnbcrjv dhfuf,"
PHRASE_eg_city_falls_no_reason_A  		"ujht ghbikj d [city_name]:"
PHRASE_eg_city_falls_no_reason_B	  "gjAjCt, xnj ghjFktvs d [city_name] ybrjulf yt rjyxfncz,"
PHRASE_eg_city_falls_no_reason_C	  ""

;*****Foreign City Conquered**********************************
PHRASE_foreign_city_conquered_title 					"dhfCtcrbq ujhjl pfAdfxty "
PHRASE_foreign_city_conquered_initial_announcement		"[greeting] [player_name], [reason_phrase] tubgtn ecgtiyj pfAdfnbk ujhjl [city_name], tot Fjkmit hfcibhbd yfit dkbzybt!"
PHRASE_foreign_city_conquered_reason_A 				"gjcrjkmre xeCjq ujhjl [city_name] Fsk pfyzn yfibvb djqcrfvb,"
PHRASE_foreign_city_conquered_reason_B	  " xeCjq ujhjl [city_name] Fsk pfyzn yfibvb djqcrfvb!  ntgthm"
PHRASE_foreign_city_conquered_reason_C	  "Ajnz xeCjq ujhjl [city_name] Fsk pfyzn yfibvb djqcrfvb,"
PHRASE_foreign_city_conquered_no_reason_A  	"bp-pf cbks yfituj jheCbz,"
PHRASE_foreign_city_conquered_no_reason_B	  "vjom yfituj rjhjktdcndf ghjljkCftn hfcnb. ntgthm "
PHRASE_foreign_city_conquered_no_reason_C	  ""

;*****Trade Route becomes available**********************************
PHRASE_route_opened_title 						"jnrhsn yjdsq njhujdsq genm "
PHRASE_route_opened_initial_announcement		"[greeting] [player_name], [reason_phrase] yjdsq njhujdsq genm d [city_name] vjCtn Fsnm jnrhsn."
PHRASE_route_opened_reason_A  	 				"gjcrjkmre yjdsq njhujdsq genm d [city_name] vjCtn Fsnm jnrhsn,"
PHRASE_route_opened_reason_B	  				" yjdsq njhujdsq genm d [city_name] vjCtn Fsnm jnrhsn, b "
PHRASE_route_opened_reason_C	  				"Ajnz yjdsq njhujdsq genm d [city_name] vjCtn Fsnm jnrhsn,"
PHRASE_route_opened_no_reason_A  	 			"Fkfujlfhz frnbdyjcnb lbgkjvfnjd,"
PHRASE_route_opened_no_reason_B	  "gthtvtys djn-djn yfcnegzn , "
PHRASE_route_opened_no_reason_C	  ""

;*****Trade Route Shuts Down**********************************
PHRASE_route_closed_title 					"njhujdsq genm pfrhsn "
PHRASE_route_closed_initial_announcement    "[greeting] [player_name], [reason_phrase] njhujdsq genm d [city_name] Fsk pfrhsn."
PHRASE_route_closed_reason_A  	 					"gjcrjkmre njhujdsq genm d [city_name] Fsk pfrhsn,"
PHRASE_route_closed_reason_B	  " njhujdsq genm d [city_name] Fsk pfrhsn, b r njve Ct,"
PHRASE_route_closed_reason_C	  "Ajnz njhujdsq genm d [city_name] Fsk pfrhsn,"
PHRASE_route_closed_no_reason_A  	 				"bp-pf gjkbnbxtcrjq ytcnfFbkmyjcnb,"
PHRASE_route_closed_no_reason_B	  "..Dnj yflj Fskj pfvtnbnm pfhfytt. gjAjCt, xnj "
PHRASE_route_closed_no_reason_C	  ""

;*****Trade City under Siege**********************************
PHRASE_siege_title 							"njhujdsq ujhjl d jcflt "
PHRASE_siege_initial_announcement			"[greeting] [player_name], [reason_phrase] Cenrfz jcflf ghjbcAjlbn d ujhjlt [city_name]."
PHRASE_siege_reason_A  						"gjcrjkmre [city_name] d jcflt,"
PHRASE_siege_reason_B	  "[city_name] d jcflt b "
PHRASE_siege_reason_C	  "Ajnz [city_name] d jcflt,"
PHRASE_siege_no_reason_A  		"hfpdtlxbrb bvtEn cnhfiyst yjdjcnb. gjAjCt, xnj "
PHRASE_siege_no_reason_B	  "Dnbv ghjFktvfv yt Feltn rjywf, "
PHRASE_siege_no_reason_C	  ""

;MESSAGE + TRIGGER EVENTS 
;*****Egyptian City Saved**********************************
PHRASE_eg_city_saved_title 					"tubgtncrbq ujhjl cgfcty "
PHRASE_eg_city_saved_initial_announcement	"[greeting] [player_name], [reason_phrase] [city_name] cgfcty jn yfibA dhfujd. "
PHRASE_eg_city_saved_reason_A  	 				"gjcrjkmre [city_name] cgfcty jn yfibA dhfujd,"
PHRASE_eg_city_saved_reason_B	  "[city_name] cgfcty jn yfibA dhfujd!  ntgthm, "
PHRASE_eg_city_saved_reason_C	  "Ajnz [city_name] cgfcty jn yfibA dhfujd,"
PHRASE_eg_city_saved_no_reason_A  			"Fkfujlfhz ecbkbzv uthjbxtcrjq tubgtncrjq fhvbb,"
PHRASE_eg_city_saved_no_reason_B	  "djqyf pfnbAftn b yfxbyftncz cyjdf b "
PHRASE_eg_city_saved_no_reason_C	  ""

;*****Distant Battle Won**********************************
PHRASE_battle_won_title 					"gjFtlf d Fbndt "
PHRASE_battle_won_initial_announcement		"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz jlthCfkf gjFtle!"
PHRASE_battle_won_reason_A  	 		"gjcrjkmre yfib djqcrf gjFtlbkb d Fbndt ghb [city_name],"
PHRASE_battle_won_reason_B	  " yfib djqcrf gjFtlbkb d Fbndt ghb [city_name].  ntgthm"
PHRASE_battle_won_reason_C	  "Ajnz yfib djqcrf gjFtlbkb d Fbndt ghb [city_name] "
PHRASE_battle_won_no_reason_A  		"Fkfujlfhz cbkt yfibA jnkbxyj gjlujnjdktyysA djqcr d ujhjlt [city_name],"
PHRASE_battle_won_no_reason_B	  "gjAjCt, xnj xeltcf d ujhjlt [city_name] yt pfrjyxfncz "
PHRASE_battle_won_no_reason_C	  ""

;*****Distant Battle Lost**********************************
PHRASE_battle_lost_title 					"tubgtncrfz fhvbz hfpFbnf"
PHRASE_battle_lost_initial_announcement		"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz hfpFbnf d Fbndt ghb [city_name]. "
PHRASE_battle_lost_reason_A  	 					"gjcrjkmre tubgtn ghjbuhfk Fbnde ghb [city_name],"
PHRASE_battle_lost_reason_B	  " tubgtn ghjbuhfk Fbnde ghb [city_name].  xnj lj jcnfkmyjuj,"
PHRASE_battle_lost_reason_C	  "Ajnz tubgtn ghjbuhfk Fbnde ghb [city_name],"
PHRASE_battle_lost_no_reason_A  	"yfibv djqcrf jxtym yt gjdtpkj, nfr xnj "
PHRASE_battle_lost_no_reason_B	  "djqyf Fskf eCfcyj ytghtlcrfpetvjq. r ytcxfcnmE, "
PHRASE_battle_lost_no_reason_C	  ""

;*****Acknowledgement**********************************
PHRASE_acknowledgement_title 					"cjukfcbt ljcnbuyenj "
PHRASE_acknowledgement_initial_announcement		"[greeting] [player_name], [reason_phrase] dfi ujhjl d Ftpjgfcyjcnb... gjrf xnj."
PHRASE_acknowledgement_reason_A  	 			"gjcrjkmre ds gjrjhyj gjlxbybkbcm euhjpt,"
PHRASE_acknowledgement_reason_B	  				" ds gjrjhyj gjlxbybkbcm euhjpt,"
PHRASE_acknowledgement_reason_C	  				"Ajnz ds gjrjhyj gjlxbybkbcm euhjpt,"
PHRASE_acknowledgement_no_reason_A				"gj dtktybE cthlwf,"
PHRASE_acknowledgement_no_reason_B	  			"ybxtuj ytkmpz endthClfnm njxyj , yj "
PHRASE_acknowledgement_no_reason_C	  			""

;INVASIONS 
;*****Pharaoh Attacks******************************************
PHRASE_pharaoh_attacks_you_title 					"fhvbz afhfjyf fnfretn "
PHRASE_pharaoh_attacks_you_initial_announcement		"[greeting] [player_name], [reason_phrase] fhvbz afhfjyf eCt d genb b ljcnbuytn dfituj ujhjlf xthtp [time_until_attack] vtczwtd."
PHRASE_pharaoh_attacks_you_2year_reminder			"[greeting] [player_name], [reason_phrase] fhvbz afhfjyf ghbFkbCftncz b Feltn gjl cntyfvb dfituj ujhjlf xthtp ldf ujlf."
PHRASE_pharaoh_attacks_you_1year_reminder			"[greeting] [player_name], [reason_phrase] fhvbz afhfjyf ujnjdbncz r FjE b Feltn gjl cntyfvb dfituj ujhjlf xthtp ujl."
PHRASE_pharaoh_attacks_you_6month_warning			"[greeting] [player_name], [reason_phrase] fhvbz afhfjyf c juhjvysv eljdjkmcndbtv fnfretn dfc xthtp itcnm vtczwtd."
PHRASE_pharaoh_attacks_you_1month_warning			"[greeting] [player_name], [reason_phrase] fhvbz afhfjyf yfAjlbncz d jlyjv vtczwt genb jn dfituj ujhjlf!."
PHRASE_pharaoh_attacks_you_city_attacked_alert  	"[greeting] [player_name], fhvbz afhfjyf gthtl yfvb!"
PHRASE_pharaoh_attacks_you_reason_A  	 	 		"gjcrjkmre dfi ujhjl fnfrjdfy fhvbtq afhfjyf,"
PHRASE_pharaoh_attacks_you_reason_B	  				" dfi ujhjl fnfrjdfy fhvbtq afhfjyf.  xnj lj jcnfkmyjuj ,"
PHRASE_pharaoh_attacks_you_reason_C	  				"Ajnz dfi ujhjl fnfrjdfy fhvbtq afhfjyf,"
PHRASE_pharaoh_attacks_you_no_reason_A  	 		"byjulf afhfjy ltqcndetn nfr, xnj tuj ybrnj yt gjybvftn. "
PHRASE_pharaoh_attacks_you_no_reason_B	  			"afhfjy ytghtlcrfpetv.  ntgthm,"
PHRASE_pharaoh_attacks_you_no_reason_C	  			"gjcrjkmre dfit gjkjCtybt d rjhjktdcndt eAelibkjcm lj ytdjpvjCyjcnb,"
PHRASE_pharaoh_attacks_you_because_of_low_favor		"dfit gjkjCtybt d rjhjktdcndt eAelibkjcm ghjcnj lj yekz. vjCtn Fsnm, gjlfhrb yfhjle tubgnf vjuen eghjxbnm dfit gjkjCtybt, yj lfCt ctqxfc "

;*****Egyptian Army Attacks*************************************
PHRASE_eg_city_attacks_you_title 					"tubgtncrfz fhvbz fnfretn "
